1, 08:41:44, 343, 41, 24, 138, 52, 24, 155.063, 155.18, 0.12
2, 08:43:16, 344, 6, 0, 139, 11, 33, 154.985, 155.09, 0.11
3, 08:44:12, 344, 16, 44, 139, 23, 14, 155.055, 155.11, 0.05
4, 08:44:52, 344, 22, 5, 139, 31, 34, 155.058, 155.16, 0.10
5, 08:46:01, 344, 35, 30, 139, 45, 59, 155.076, 155.17, 0.10
6, 08:46:42, 344, 45, 20, 139, 54, 33, 155.043, 155.15, 0.11
7, 08:47:21, 344, 60, 38, 140, 2, 43, 154.94, 155.03, 0.09
8, 08:48:12, 345, 27, 4, 140, 13, 24, 154.667, 154.77, 0.11
9, 08:48:58, 345, 41, 55, 140, 23, 2, 154.588, 154.69, 0.10
10, 09:07:08, 349, 18, 14, 144, 13, 48, 154.765, 154.93, 0.16
11, 09:07:24, 349, 23, 44, 144, 17, 14, 154.764, 154.89, 0.13
12, 09:07:45, 349, 27, 35, 144, 21, 43, 154.762, 154.90, 0.14
13, 09:08:03, 349, 33, 42, 144, 25, 34, 154.783, 154.86, 0.08
14, 09:08:19, 349, 34, 26, 144, 28, 60, 154.783, 154.91, 0.13
15, 09:08:34, 349, 38, 59, 144, 32, 12, 154.779, 154.89, 0.11
16, 09:08:50, 349, 42, 35, 144, 35, 38, 154.768, 154.88, 0.12
17, 09:09:13, 349, 51, 28, 144, 40, 34, 154.733, 154.82, 0.09
18, 09:09:33, 350, 3, 0, 144, 44, 51, 154.597, 154.70, 0.10
19, 09:09:57, 350, 16, 46, 144, 49, 60, 154.509, 154.55, 0.04
20, 09:10:20, 350, 18, 0, 144, 54, 56, 154.505, 154.62, 0.11
