UTC, obs_sun_deg, obs_sun_min, obs_sun_sec, obs_gyro_deg_true
31-12-2019 08:41:44,343,41,24, 155.063
31-12-2019 08:43:16,344,6,0, 154.985
31-12-2019 08:44:12,344,16,44, 155.055
31-12-2019 08:44:52,344,22,5, 155.058
31-12-2019 08:46:01,344,35,30, 155.076
31-12-2019 08:46:42,344,45,20, 155.043
31-12-2019 08:47:21,344,60,38,154.940
31-12-2019 08:48:12,345,27,4, 154.667
31-12-2019 08:48:58,345,41,55, 154.588
31-12-2019 09:07:08,349,18,14, 154.765
31-12-2019 09:07:24,349,23,44, 154.764
31-12-2019 09:07:45,349,27,35, 154.762
31-12-2019 09:08:03,349,33,42, 154.783
31-12-2019 09:08:19,349,34,26, 154.783
31-12-2019 09:08:34,349,38,59, 154.779
31-12-2019 09:08:50,349,42,35, 154.768
31-12-2019 09:09:13,349,51,28, 154.733
31-12-2019 09:09:33,350,3,0, 154.597
31-12-2019 09:09:57,350,16,46, 154.509
31-12-2019 09:10:20,350,18,0, 154.505
